time,open,Price,high,low,Volume
2024-11-26 13:47:00,6.51,6.5,6.53,6.5,2808.0
2024-11-26 13:48:00,6.5,6.45,6.51,6.45,5066.0
2024-11-26 13:49:00,6.46,6.48,6.49,6.45,2495.0
2024-11-26 13:50:00,6.48,6.48,6.48,6.47,2285.0
2024-11-26 13:51:00,6.47,6.48,6.48,6.47,2048.0
2024-11-26 13:52:00,6.47,6.43,6.47,6.4,3329.0
2024-11-26 13:53:00,6.44,6.43,6.46,6.43,4292.0
2024-11-26 13:54:00,6.43,6.42,6.44,6.4,2977.0
2024-11-26 13:55:00,6.44,6.42,6.44,6.42,1285.0
2024-11-26 13:56:00,6.42,6.42,6.42,6.4,1375.0
2024-11-26 13:57:00,6.42,6.41,6.42,6.4,1571.0
2024-11-26 13:58:00,6.41,6.38,6.42,6.38,3534.0
2024-11-26 13:59:00,6.38,6.3,6.39,6.3,4770.0
2024-11-26 14:00:00,6.31,6.27,6.31,6.24,6572.0
2024-11-26 14:01:00,6.27,6.24,6.27,6.21,4517.0
2024-11-26 14:02:00,6.24,6.3,6.31,6.24,4443.0
2024-11-26 14:03:00,6.32,6.29,6.35,6.28,2260.0
2024-11-26 14:04:00,6.3,6.37,6.38,6.3,1847.0
2024-11-26 14:05:00,6.36,6.35,6.36,6.33,1478.0
2024-11-26 14:06:00,6.35,6.42,6.42,6.35,2622.0
2024-11-26 14:07:00,6.42,6.44,6.44,6.42,3991.0
2024-11-26 14:08:00,6.43,6.4,6.43,6.35,1548.0
2024-11-26 14:09:00,6.4,6.4,6.42,6.4,4351.0
2024-11-26 14:10:00,6.4,6.39,6.4,6.39,1890.0
2024-11-26 14:11:00,6.39,6.36,6.4,6.36,2420.0
2024-11-26 14:12:00,6.36,6.35,6.36,6.35,1396.0
2024-11-26 14:13:00,6.35,6.37,6.37,6.35,1507.0
2024-11-26 14:14:00,6.37,6.38,6.38,6.36,1246.0
2024-11-26 14:15:00,6.38,6.4,6.4,6.38,1790.0
2024-11-26 14:16:00,6.4,6.39,6.4,6.37,1007.0
2024-11-26 14:17:00,6.38,6.35,6.39,6.35,1703.0
2024-11-26 14:18:00,6.35,6.34,6.35,6.34,890.0
2024-11-26 14:19:00,6.33,6.28,6.34,6.28,1819.0
2024-11-26 14:20:00,6.28,6.24,6.28,6.22,2689.0
2024-11-26 14:21:00,6.24,6.28,6.28,6.24,2599.0
2024-11-26 14:22:00,6.28,6.28,6.29,6.27,5252.0
2024-11-26 14:23:00,6.28,6.2,6.28,6.2,6033.0
2024-11-26 14:24:00,6.19,6.13,6.21,6.13,3936.0
2024-11-26 14:25:00,6.14,6.17,6.2,6.12,3386.0
2024-11-26 14:26:00,6.19,6.15,6.19,6.13,5037.0
2024-11-26 14:27:00,6.16,6.17,6.17,6.14,1972.0
2024-11-26 14:28:00,6.18,6.21,6.21,6.16,2350.0
2024-11-26 14:29:00,6.2,6.18,6.2,6.16,1950.0
2024-11-26 14:30:00,6.18,6.17,6.19,6.16,1145.0
2024-11-26 14:31:00,6.17,6.16,6.18,6.15,1537.0
2024-11-26 14:32:00,6.15,6.1,6.16,6.1,4836.0
2024-11-26 14:33:00,6.12,6.08,6.12,6.08,2365.0
2024-11-26 14:34:00,6.09,6.1,6.1,6.08,3562.0
2024-11-26 14:35:00,6.1,6.09,6.1,6.09,2645.0
2024-11-26 14:36:00,6.09,6.07,6.1,6.07,2537.0
2024-11-26 14:37:00,6.07,6.06,6.07,6.05,3266.0
2024-11-26 14:38:00,6.06,6.05,6.06,6.03,2649.0
2024-11-26 14:39:00,6.03,6.05,6.05,6.03,2451.0
2024-11-26 14:40:00,6.05,6.1,6.1,6.04,1916.0
2024-11-26 14:41:00,6.1,6.13,6.13,6.09,1713.0
2024-11-26 14:42:00,6.13,6.14,6.15,6.13,765.0
2024-11-26 14:43:00,6.15,6.11,6.15,6.1,2215.0
2024-11-26 14:44:00,6.1,6.07,6.11,6.05,1405.0
2024-11-26 14:45:00,6.07,6.05,6.08,6.05,1437.0
2024-11-26 14:46:00,6.05,6.05,6.07,6.04,1779.0
2024-11-26 14:47:00,6.06,6.04,6.06,6.03,2065.0
2024-11-26 14:48:00,6.04,6.05,6.05,6.03,2041.0
2024-11-26 14:49:00,6.04,6.0,6.05,6.0,3898.0
2024-11-26 14:50:00,6.0,5.94,6.0,5.94,3484.0
2024-11-26 14:51:00,5.92,5.89,5.94,5.88,7373.0
2024-11-26 14:52:00,5.89,5.98,5.98,5.89,2583.0
2024-11-26 14:53:00,5.98,6.03,6.03,5.98,4723.0
2024-11-26 14:54:00,6.03,6.04,6.05,6.03,4096.0
2024-11-26 14:55:00,6.04,6.02,6.05,6.02,4046.0
2024-11-26 14:56:00,6.02,5.95,6.02,5.95,5376.0
2024-11-26 14:57:00,5.91,5.98,5.98,5.91,5865.0
2024-11-26 14:58:00,5.98,5.98,5.98,5.98,122.0
2024-11-26 14:59:00,5.98,5.98,5.98,5.98,0.0
2024-11-26 15:00:00,5.98,5.99,5.99,5.98,4541.0
